,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Categoría
0,91,AMAZONAS,91263,EL ENCANTO ,191.82,264.0,164.0,270.0,382.0,233.0,186.0,349.0,109.0,81.0,35.0,16.0,8.0,20.0,11.77,12.65,8.04,4.12,2.52,0.0,0.0,0.0,Cultivo intermintente
1,91,AMAZONAS,91405,LA CHORRERA ,65.0,236.0,209.0,271.0,257.0,223.0,132.0,349.0,81.0,113.0,36.0,22.0,25.0,51.0,13.61,14.09,18.2,6.04,3.16,0.0,0.0,0.0,Cultivo intermintente
2,91,AMAZONAS,91407,LA PEDRERA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
3,91,AMAZONAS,91430,LA VICTORIA  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
4,91,AMAZONAS,91460,MIRITÍ-PARANÁ  ,6.0,43.0,36.18,30.0,12.0,4.0,9.0,2.0,4.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
5,91,AMAZONAS,91530,PUERTO ALEGRÍA ,212.34,195.0,173.0,174.0,210.0,202.0,165.0,95.0,53.0,73.0,44.0,54.0,76.0,102.0,85.79,140.03,139.38,111.49,118.96,61.45,72.76,103.39,Cultivo permanente
6,91,AMAZONAS,91536,PUERTO ARICA ,0.0,1.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
7,91,AMAZONAS,91669,SANTANDER  ,33.0,44.0,36.72,38.0,36.0,30.0,49.0,41.0,22.0,34.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
8,5,ANTIOQUIA,5031,AMALFI,36.61,110.0,74.0,173.0,210.0,342.0,246.0,151.0,108.0,103.0,29.0,170.0,48.0,40.0,28.36,130.81,197.94,205.61,191.08,209.8,475.39,404.95,Cultivo permanente
9,5,ANTIOQUIA,5040,ANORÍ,201.25,369.0,613.71,753.0,759.0,836.0,533.0,787.0,239.0,526.0,208.0,361.0,107.0,199.0,256.05,661.7,1312.28,969.49,768.35,1088.88,1737.4,1540.74,Cultivo permanente
10,5,ANTIOQUIA,5045,APARTADÓ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,70.0,0.0,19.0,5.0,6.0,8.9,9.48,7.93,1.51,7.26,5.69,1.86,3.35,Cultivo permanente
11,5,ANTIOQUIA,5055,ARGELIA,0.0,0.0,4.0,21.0,21.0,15.0,2.0,1.0,3.0,9.0,42.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
12,5,ANTIOQUIA,5107,BRICEÑO,24.17,17.0,20.0,54.0,115.0,44.0,329.0,85.0,50.0,94.0,38.0,53.0,5.0,27.0,91.45,736.94,414.9,289.04,90.71,88.59,363.09,417.62,Cultivo permanente
13,5,ANTIOQUIA,5120,CÁCERES,229.11,116.0,537.0,539.0,650.0,579.0,552.0,524.0,382.0,1056.0,453.0,290.0,143.0,510.0,420.12,1131.27,1943.61,1826.23,1101.54,1273.92,1869.62,1785.65,Cultivo permanente
14,5,ANTIOQUIA,5134,CAMPAMENTO,0.0,8.0,0.0,62.0,28.0,9.0,38.0,6.0,25.0,0.0,0.0,6.0,11.0,41.0,25.6,130.32,228.15,204.57,183.95,179.43,326.09,268.84,Cultivo permanente
15,5,ANTIOQUIA,5142,CARACOLÍ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
16,5,ANTIOQUIA,5147,CAREPA,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
17,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
18,5,ANTIOQUIA,5154,CAUCASIA,95.11,26.0,27.0,21.0,2.0,12.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,2.25,0.0,0.0,3.32,3.63,Cultivo intermintente
19,5,ANTIOQUIA,5172,CHIGORODÓ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,7.0,4.0,1.0,0.0,10.43,6.94,5.31,6.37,4.1,12.18,15.6,Cultivo intermintente
20,5,ANTIOQUIA,5197,COCORNÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
21,5,ANTIOQUIA,5234,DABEIBA,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
22,5,ANTIOQUIA,5250,EL BAGRE,452.25,327.0,524.0,546.0,721.0,463.0,1752.0,708.0,715.0,1110.0,317.0,339.0,96.0,21.0,85.34,446.31,595.17,811.02,648.31,1265.7,1152.82,878.64,Cultivo permanente
23,5,ANTIOQUIA,5284,FRONTINO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
24,5,ANTIOQUIA,5310,GÓMEZ PLATA,24.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
25,5,ANTIOQUIA,5361,ITUANGO,134.67,130.0,200.0,135.0,161.0,76.0,45.0,228.0,250.0,16.0,82.0,138.0,27.0,108.0,41.37,305.23,865.56,882.69,724.51,967.34,1414.19,1213.2,Cultivo permanente
26,5,ANTIOQUIA,5425,MACEO,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cultivo abandonado
27,5,ANTIOQUIA,5475,MURINDÓ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.52,8.12,46.05,69.23,Cultivo intermintente
28,5,ANTIOQUIA,5480,MUTATÁ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,4.0,0.0,1.18,0.0,6.65,3.49,1.21,1.1,5.99,10.0,Cultivo intermintente
