,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,IICA,AÑO,Categoría
5,05,ANTIOQUIA,05001,MEDELLÍN,0.03,2017,Bajo
6,05,ANTIOQUIA,05001,MEDELLÍN,0.03,2018,Bajo
7,05,ANTIOQUIA,05001,MEDELLÍN,0.02,2019,Bajo
8,05,ANTIOQUIA,05001,MEDELLÍN,0.03,2020,Bajo
9,05,ANTIOQUIA,05001,MEDELLÍN,0.03,2021,Bajo
10,05,ANTIOQUIA,05002,ABEJORRAL,0.01,2017,Bajo
11,05,ANTIOQUIA,05002,ABEJORRAL,0.03,2018,Bajo
12,05,ANTIOQUIA,05002,ABEJORRAL,0.02,2019,Bajo
13,05,ANTIOQUIA,05002,ABEJORRAL,0.02,2020,Bajo
14,05,ANTIOQUIA,05002,ABEJORRAL,0.02,2021,Bajo
15,05,ANTIOQUIA,05004,ABRIAQUÍ,0.04,2017,Bajo
16,05,ANTIOQUIA,05004,ABRIAQUÍ,0.01,2018,Bajo
17,05,ANTIOQUIA,05004,ABRIAQUÍ,0.0,2019,Bajo
18,05,ANTIOQUIA,05004,ABRIAQUÍ,0.0,2020,Bajo
19,05,ANTIOQUIA,05004,ABRIAQUÍ,0.12,2021,Bajo
20,05,ANTIOQUIA,05021,ALEJANDRÍA,0.04,2017,Bajo
21,05,ANTIOQUIA,05021,ALEJANDRÍA,0.01,2018,Bajo
22,05,ANTIOQUIA,05021,ALEJANDRÍA,0.0,2019,Bajo
23,05,ANTIOQUIA,05021,ALEJANDRÍA,0.0,2020,Bajo
24,05,ANTIOQUIA,05021,ALEJANDRÍA,0.0,2021,Bajo
25,05,ANTIOQUIA,05030,AMAGÁ,0.04,2017,Bajo
26,05,ANTIOQUIA,05030,AMAGÁ,0.05,2018,Bajo
27,05,ANTIOQUIA,05030,AMAGÁ,0.04,2019,Bajo
28,05,ANTIOQUIA,05030,AMAGÁ,0.02,2020,Bajo
29,05,ANTIOQUIA,05030,AMAGÁ,0.05,2021,Bajo
30,05,ANTIOQUIA,05031,AMALFI,0.03,2017,Bajo
31,05,ANTIOQUIA,05031,AMALFI,0.04,2018,Bajo
32,05,ANTIOQUIA,05031,AMALFI,0.07,2019,Bajo
33,05,ANTIOQUIA,05031,AMALFI,0.04,2020,Bajo
34,05,ANTIOQUIA,05031,AMALFI,0.1,2021,Bajo
35,05,ANTIOQUIA,05034,ANDES,0.06,2017,Bajo
36,05,ANTIOQUIA,05034,ANDES,0.09,2018,Bajo
37,05,ANTIOQUIA,05034,ANDES,0.07,2019,Bajo
38,05,ANTIOQUIA,05034,ANDES,0.11,2020,Bajo
39,05,ANTIOQUIA,05034,ANDES,0.1,2021,Bajo
40,05,ANTIOQUIA,05036,ANGELÓPOLIS,0.06,2017,Bajo
41,05,ANTIOQUIA,05036,ANGELÓPOLIS,0.07,2018,Bajo
42,05,ANTIOQUIA,05036,ANGELÓPOLIS,0.02,2019,Bajo
