,CODDEPTO,DEPARTAMENTO,CODMPIO,ENTIDAD,IPM,AÑO
0,86,PUTUMAYO,86000,PUTUMAYO,39.11,2018
1,54,NORTE DE SANTANDER,54172,CHINÁCOTA,30.3,2018
2,73,TOLIMA,73067,ATACO,64.0,2018
3,52,NARIÑO,52885,YACUANQUER,44.2,2018
4,68,SANTANDER,68705,SANTA BÁRBARA,53.8,2018
5,54,NORTE DE SANTANDER,54051,ARBOLEDAS,53.5,2018
6,85,CASANARE,85410,TAURAMENA,27.2,2018
7,68,SANTANDER,68780,SURATÁ,44.2,2018
8,73,TOLIMA,73152,CASABIANCA,43.8,2018
9,86,PUTUMAYO,86568,PUERTO ASÍS,44.1,2018
10,73,TOLIMA,73226,CUNDAY,40.8,2018
11,85,CASANARE,85325,SAN LUIS DE PALENQUE,37.0,2018
12,68,SANTANDER,68745,SIMACOTA,44.5,2018
13,85,CASANARE,85430,TRINIDAD,38.7,2018
14,52,NARIÑO,52838,TÚQUERRES,32.5,2018
15,54,NORTE DE SANTANDER,54206,CONVENCIÓN,64.0,2018
16,68,SANTANDER,68770,SUAITA,37.8,2018
17,85,CASANARE,85279,RECETOR,39.3,2018
18,73,TOLIMA,73168,CHAPARRAL,39.7,2018
19,68,SANTANDER,68861,VÉLEZ,32.3,2018
20,54,NORTE DE SANTANDER,54125,CÁCOTA,48.9,2018
21,54,NORTE DE SANTANDER,54250,EL TARRA,71.2,2018
22,85,CASANARE,85300,SABANALARGA,34.2,2018
23,68,SANTANDER,68720,SANTA HELENA DEL OPÓN,47.9,2018
24,54,NORTE DE SANTANDER,54174,CHITAGÁ,54.8,2018
25,68,SANTANDER,68773,SUCRE,47.1,2018
26,68,SANTANDER,68820,TONA,45.8,2018
27,86,PUTUMAYO,86219,COLÓN,22.6,2018
28,85,CASANARE,85400,TÁMARA,55.0,2018
29,54,NORTE DE SANTANDER,54001,CÚCUTA,25.7,2018
30,85,CASANARE,85315,SÁCAMA,32.5,2018
31,54,NORTE DE SANTANDER,54239,DURANIA,44.5,2018
32,54,NORTE DE SANTANDER,54109,BUCARASICA,67.9,2018
33,54,NORTE DE SANTANDER,54003,ÁBREGO,55.8,2018
34,68,SANTANDER,68855,VALLE DE SAN JOSÉ,36.6,2018
35,73,TOLIMA,73200,COELLO,35.8,2018
36,85,CASANARE,85440,VILLANUEVA,24.6,2018
37,73,TOLIMA,73148,CARMEN DE APICALÁ,20.7,2018
38,73,TOLIMA,73124,CAJAMARCA,36.2,2018
39,54,NORTE DE SANTANDER,54128,CACHIRÁ,56.4,2018
40,54,NORTE DE SANTANDER,54245,EL CARMEN,68.9,2018
