,CODDEPTO,DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,91,AMAZONAS,228.2455211992084,253.45799448585078,278.27884132821487,304.24095154446087,336.1911296866252,368.98975622538876,402.0919435317247,437.51824429308067,475.9593355994083,531.6700411881552,593.3644029666723,660.6209974837806,710.1469756460746,759.1816101512736,808.1778151795215,770.6201673028091,883.2087503391193,1067.855672035182
1,05,ANTIOQUIA,51006.83699479885,57285.04771720126,64513.561945045,68424.94881898418,71308.81497403723,75981.8714210716,85578.12207356477,92318.04367653646,98572.84854174512,106818.96132105797,115446.2569833156,126021.64407252638,132368.59065390422,141680.0803320556,153559.44893857834,148236.1092044369,177836.52474560376,212514.95735553346
2,81,ARAUCA,3555.26547620587,4048.0781304824127,4450.890438283792,5837.064268230669,5062.336797825135,5216.711579909053,6170.812099254966,5983.518003020743,5673.981515289021,5009.854120191167,4534.093020485556,4151.50006261592,4366.763659847884,5091.156096412452,5618.911810735286,5070.725647827807,6573.667833963543,8548.114652864271
3,08,ATLÁNTICO,13506.772992886752,15431.79588329677,18052.020785127286,19527.149199310064,20809.219457275856,21443.21359624548,23549.405763091636,26444.987110190366,29112.427026687204,32382.665874534057,35716.29568989337,38575.33309511425,40874.78022790941,43368.866167068525,46574.75300738313,44722.24904551819,52960.968416659845,63764.77076653209
4,11,BOGOTÁ D.C.,89831.7763182392,100461.8171476559,112440.5199121258,122100.65199049123,130672.4438232072,139740.38710868623,152691.34548669757,164542.1562234019,177360.95560648688,191025.60168172722,206478.40891632767,221455.5703288083,236785.8974946024,253941.0244985886,273524.35423723026,259710.37408892746,301491.3138659056,357258.62076152203
5,13,BOLÍVAR,11169.047763639473,12844.796309745636,14687.660722084038,16047.691294450937,16432.357120825563,18363.00389008468,21489.009083860077,23078.33285253121,25858.703060108404,26623.46238676746,28105.21128828678,30917.85884539364,33393.78051998379,35410.28620845884,38285.298968000636,34562.63951429838,42026.72354815231,51404.3523695359
6,15,BOYACÁ,8225.995953619826,9214.996356271175,10950.741460920619,12771.129629614044,13261.199689609115,14474.527544591601,17260.034051694256,18313.93916853476,19380.059108227397,20839.474104019195,22164.683372837735,23671.130606445055,24782.2625694136,26884.20724344469,28573.546284721087,26363.649861794805,31208.481549043154,38858.16212261136
7,17,CALDAS,6015.344484385062,6888.067019027826,7609.454209624905,8181.235796860499,8363.561927907655,8821.971192117922,9343.10195945864,9748.222330316024,10497.853683289919,11518.624890664774,12513.501744755558,13798.295281628802,14749.498122878505,15710.828928008199,17012.43929113095,16653.51444817125,19782.135001179468,23953.112448895656
8,18,CAQUETÁ,1253.9589434269135,1364.9980836927848,1559.8567416252595,1746.3272870008275,1904.369198852417,1972.1308924390798,2165.800905859396,2554.3054104443668,2835.584118965049,3175.1891591617896,3349.8674772843992,3665.700438596257,3866.2745722036757,4071.6149609350214,4313.452682771472,4137.07133706311,4718.022654305046,5461.366779966687
9,85,CASANARE,7841.715801457913,8269.530891540575,8009.129660904759,9909.798921556334,9165.234510062848,10453.855352838613,14433.358067031148,15729.475800269538,16781.103513794766,16687.927686124964,13304.992649276586,11667.468808624273,13145.422726425715,15507.121773227573,16464.684387055946,13650.997315300963,17809.9542621388,23660.65737491226
10,19,CAUCA,5058.549077684048,5721.865115817302,6282.347714484655,7086.319402220475,7646.249624847073,8503.38744999442,9289.682643507489,10373.337586126505,11624.41262825716,13085.761667518203,14622.036080438851,16070.029533409768,16738.90220224114,17478.959533504327,18755.358542324724,18113.9742534516,21244.24577703588,25758.15171229012
11,20,CESAR,6461.70787751182,7402.761913491523,7971.221099758187,9789.401737768401,10334.868426422825,10890.935871063428,13247.489062709057,13975.243042778307,13383.024187931756,13653.577178969175,14570.402494107215,16992.10250093489,19550.61196996064,21262.81048609059,20724.528497966643,17678.70218186607,23244.412779752955,37523.918977681016
