,DEPARTAMENTO,POBLACIÓN DANE,CATEGORÍA,Población DANE
0,ATLANTICO,2774958,1,2774958
1,CAQUETA,421797,4,421797
2,CAUCA,1541265,3,1541265
3,CUNDINAMARCA,3334637,ESP,3334637
4,CHOCO,584521,3,584521
5,GUAJIRA,1017121,4,1017121
6,META,1113810,1,1113810
7,NARIÑO,1689002,1,1689002
8,NORTE DE SANTANDER,1678975,2,1678975
9,QUINDIO,559810,3,559810
10,RISARALDA,970138,2,970138
11,SANTANDER,2335238,1,2335238
12,SUCRE,980942,3,980942
13,TOLIMA,1367802,2,1367802
14,PUTUMAYO,377095,4,377095
15,GUAINIA,55091,4,55091
16,GUAVIARE,94625,4,94625
17,VAUPES,45579,4,45579
18,VICHADA,120942,4,120942
19,ANTIOQUIA,6787846,ESP,6787846
20,BOLIVAR,2227184,1,2227184
21,BOYACA,1285035,1,1285035
22,CALDAS,1034151,2,1034151
23,CESAR,1349162,2,1349162
24,CORDOBA,1882211,1,1882211
25,HUILA,1164463,2,1164463
26,MAGDALENA,1476366,2,1476366
27,VALLE DEL CAUCA,4626064,ESP,4626064
28,ARAUCA,307628,4,307628
29,CASANARE,459973,3,459973
30,ARCHIPIELAGO DE SAN ANDRES,62255,3,62255
31,AMAZONAS,83690,4,83690
