,MUNICIPIO,DEPARTAMENTO,POBLACIÓN DANE,CATEGORÍA
0,COVEÑAS,SUCRE,20892,4
1,RAQUIRA,BOYACA,8341,6
2,LA JAGUA IBIRICO,CESAR,52623,5
3,COTORRA,CORDOBA,20139,6
4,COGUA,CUNDINAMARCA,25209,5
5,LEJANIAS    ,DEPARTAMENTO DEL META,12188,6
6,TEORAMA,NORTE DE SANTANDER,18351,6
7,OIBA,SANTANDER,10968,6
8,LA UNION   ,SUCRE,14046,6
9,FORTUL     ,ARAUCA,23417,6
10,MEDELLIN,ANTIOQUIA,2572350,ESP
11,OLAYA,ANTIOQUIA,3269,6
12,"CARTAGENA DE INDIAS, DISTRITO TURISTICO Y CULTURAL",BOLIVAR,1043185,ESP
13,FLORENCIA,CAQUETA,176630,2
14,POPAYAN,CAUCA,335826,1
15,TERUEL,HUILA,8486,6
16,RIOHACHA ,GUAJIRA,217719,3
17,"SANTA MARTA, DISTRITO TURISTICO, CULTURAL E HISTORICO",MAGDALENA,548202,1
18,CUCUTA,NORTE DE SANTANDER,798411,1
19,ARMENIA,QUINDIO,306147,1
20,PEREIRA,RISARALDA,480739,1
21,BUCARAMANGA,SANTANDER,610125,ESP
22,BOLIVAR ,SANTANDER,11716,6
23,SINCELEJO,SUCRE,306168,2
24,ARAUCA,ARAUCA,97771,4
25,SAN JOSE DEL GUAVIARE,GUAVIARE,59555,6
26,LA VEGA,CUNDINAMARCA,19362,6
27,ONZAGA,SANTANDER,4237,6
28,COLON(GENOVA),NARIÑO,8783,6
29,ABREGO,NORTE DE SANTANDER,35419,6
30,LA VICTORIA,VALLE DEL CAUCA,12445,6
31,REMEDIOS    ,ANTIOQUIA,30001,5
32,BOYACA  ,BOYACA,5342,6
33,TIBACUY,CUNDINAMARCA,4848,6
34,CONCORDIA,MAGDALENA,11590,6
35,LEIVA    ,NARIÑO,10078,6
36,SANTA BARBARA,SANTANDER,2483,6
37,GIRALDO,ANTIOQUIA,5857,6
38,REPELON,ATLANTICO,28493,6
39,BRICEÑO,BOYACA,2274,6
40,VENECIA (OSPINA PEREZ),CUNDINAMARCA,4726,6
41,ACACIAS,DEPARTAMENTO DEL META,94160,3
42,OSPINA,NARIÑO,7346,6
43,CONVENCION,NORTE DE SANTANDER,20752,6
44,LEBRIJA ,SANTANDER,45198,5
45,GINEBRA,VALLE DEL CAUCA,24831,6
46,TIMBIO,CAUCA,37268,6
47,TIERRALTA,CORDOBA,97997,6
48,GIRARDOT,CUNDINAMARCA,115482,2
49,LENGUAZAQUE,CUNDINAMARCA,11369,6
50,SANTA ANA,MAGDALENA,27319,6
51,CONCEPCION,SANTANDER,5948,6
52,GIRON ,SANTANDER,172797,2
53,SAN MARCOS,SUCRE,60925,6
54,CONCORDIA ,ANTIOQUIA,22352,6
55,TITIRIBI,ANTIOQUIA,11183,6
56,BUCARASICA,NORTE DE SANTANDER,7122,6
57,CONFINES ,SANTANDER,3221,6
58,GOMEZ PLATA,ANTIOQUIA,10225,6
59,GONZALEZ,CESAR,4739,6
60,EL MOLINO,GUAJIRA,8237,6
61,BUESACO,NARIÑO,24726,6
62,LIBORINA,ANTIOQUIA,10466,6
63,PACHAVITA,BOYACA,2567,6
64,AGUACHICA,CESAR,124064,4
65,VISTA HERMOSA,DEPARTAMENTO DEL META,18794,6
66,CONTRATACION,SANTANDER,3803,6
67,COPACABANA,ANTIOQUIA,82781,3
68,RICAURTE,CUNDINAMARCA,14826,3
69,RICAURTE,NARIÑO,20436,6
70,AGUSTIN CODAZZI,CESAR,68472,5
71,GRAMALOTE,NORTE DE SANTANDER,8180,6
72,AGUADA,SANTANDER,1924,6
73,COTA,CUNDINAMARCA,37793,2
74,GUADALUPE,ANTIOQUIA,6860,6
75,RIONEGRO,ANTIOQUIA,144418,1
76,CORRALES ,BOYACA,2631,6
77,TOCAIMA,CUNDINAMARCA,17690,6
78,RIONEGRO,SANTANDER,26718,6
79,COROZAL,SUCRE,69840,6
80,PAIPA,BOYACA,35687,5
81,GUACHETA,CUNDINAMARCA,15007,6
82,TOCANCIPA,CUNDINAMARCA,45491,2
83,GUARNE   ,ANTIOQUIA,58715,2
84,COVARACHIA,BOYACA,2884,6
85,PAJARITO,BOYACA,2493,6
86,PAIME,CUNDINAMARCA,4589,6
87,SASAIMA,CUNDINAMARCA,12115,6
88,GUAMAL,DEPARTAMENTO DEL META,15133,6
89,PAMPLONA,NORTE DE SANTANDER,55858,6
90,GUACA,SANTANDER,6193,6
91,LOS SANTOS,SANTANDER,15215,6
92,GUACARI,VALLE DEL CAUCA,35239,6
93,TOLEDO ,ANTIOQUIA,5185,6
94,GUAMO,TOLIMA,34495,6
95,CACERES,ANTIOQUIA,30642,6
96,TOPAGA,BOYACA,3797,6
97,CABRERA,CUNDINAMARCA,5322,6
