,DEPARTAMENTO,FRONTERA,CODDEPTO
0,AMAZONAS,True,91
1,ANTIOQUIA,True,05
2,ARAUCA,True,81
3,ATLÁNTICO,True,08
4,BOGOTÁ D.C.,False,11
5,BOLÍVAR,False,13
6,BOYACÁ,True,15
7,CALDAS,False,17
8,CAQUETÁ,False,18
9,CASANARE,False,85
10,CAUCA,True,19
11,CESAR,True,20
12,CHOCÓ,True,27
13,CÓRDOBA,True,23
14,CUNDINAMARCA,False,25
15,GUAINÍA,True,94
16,GUAVIARE,False,95
17,HUILA,False,41
18,LA GUAJIRA,True,44
19,MAGDALENA,True,47
20,META,False,50
21,NARIÑO,True,52
22,NORTE DE SANTANDER,True,54
23,PUTUMAYO,True,86
24,QUINDÍO,False,63
25,RISARALDA,False,66
26,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA (ARCHIPIÉLAGO)",True,88
27,SANTANDER,True,68
28,SUCRE,True,70
29,TOLIMA,False,73
30,VALLE DEL CAUCA,True,76
31,VAUPÉS,True,97
32,VICHADA,True,99
