,AÑO,CODDEPTO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
0,2011,05,ANTIOQUIA,1288473,94.01,93.85,106.81,3.97,93.98,2.06,4.25
1,2011,08,ATLÁNTICO,523935,99.32,99.05,107.88,2.76,96.7,0.54,1.82
2,2011,11,"BOGOTÁ, D.C.",1479334,90.7,90.29,97.78,3.95,96.05,0.0,3.23
3,2011,13,BOLÍVAR,496676,91.57,91.4,110.41,3.14,94.76,2.1,4.43
4,2011,15,BOYACÁ,300501,86.16,86.11,104.15,3.07,94.2,2.73,2.62
5,2011,17,CALDAS,201185,87.04,86.98,98.13,4.13,90.62,5.25,4.67
6,2011,18,CAQUETÁ,124148,88.78,88.76,106.03,3.64,96.06,0.3,4.17
7,2011,19,CAUCA,328682,86.35,86.21,98.03,2.75,92.53,4.72,2.09
8,2011,20,CESAR,263789,94.75,94.57,110.47,7.07,90.54,2.39,1.67
9,2011,23,CÓRDOBA,405431,94.53,94.46,111.08,4.59,94.29,1.12,4.07
10,2011,25,CUNDINAMARCA,570954,92.13,91.93,103.34,3.6,95.58,0.89,2.7
11,2011,27,CHOCÓ,145587,83.79,83.79,110.17,4.29,93.5,2.21,0.42
12,2011,41,HUILA,275956,90.52,90.47,101.13,4.38,92.39,3.24,4.36
13,2011,44,LA GUAJIRA,231046,77.12,77.0,89.4,6.17,92.78,1.07,3.85
14,2011,47,MAGDALENA,333793,94.47,94.32,110.51,3.63,94.98,1.39,1.52
15,2011,50,META,209319,93.65,93.59,102.82,5.55,93.08,1.37,1.48
16,2011,52,NARIÑO,401313,80.53,80.5,93.96,10.17,89.97,1.4,2.53
17,2011,54,NORTE DE SANTANDER,324219,89.04,88.96,102.48,6.87,92.55,0.65,2.19
18,2011,63,QUINDIO,114075,90.87,90.83,103.95,5.04,92.43,2.53,1.36
19,2011,66,RISARALDA,192633,95.61,95.43,112.41,4.79,94.07,1.14,1.77
20,2011,68,SANTANDER,434034,92.49,92.4,103.43,3.68,94.25,2.07,2.92
21,2011,70,SUCRE,205779,103.27,103.2,123.04,6.74,86.31,7.1,0.46
22,2011,73,TOLIMA,325983,88.8,88.71,103.45,4.61,90.33,5.06,0.88
23,2011,76,VALLE DEL CAUCA,906602,88.51,88.33,101.5,4.24,90.69,5.07,2.3
24,2011,81,ARAUCA,73431,74.15,74.11,85.09,2.14,97.72,0.13,2.78
25,2011,85,CASANARE,85803,101.11,101.05,115.07,3.88,92.12,4.0,3.57
26,2011,86,PUTUMAYO,93828,80.46,80.46,93.62,4.18,95.61,0.21,3.37
27,2011,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15852,67.28,67.23,73.8,1.72,96.73,1.55,3.63
28,2011,91,AMAZONAS,22223,82.34,82.32,94.53,5.46,91.16,3.38,5.15
29,2011,94,GUAINÍA,11920,74.87,74.87,95.52,10.94,73.92,15.5,0.77
30,2011,95,GUAVIARE,31133,64.04,64.02,78.3,9.02,91.15,0.18,2.41
31,2011,97,VAUPÉS,12690,62.18,62.18,72.29,9.94,81.16,8.89,6.15
32,2011,99,VICHADA,20360,73.07,72.98,82.08,7.33,91.77,0.9,3.54
33,2012,05,ANTIOQUIA,1278686,92.79,92.65,105.8,4.01,92.04,3.95,1.93
34,2012,08,ATLÁNTICO,523911,91.59,91.43,100.39,3.32,96.29,0.42,0.8
36,2012,13,BOLÍVAR,495108,88.97,88.87,103.53,3.39,92.83,3.78,2.4
37,2012,15,BOYACÁ,297132,85.7,85.64,99.96,3.23,91.92,4.86,2.0
38,2012,17,CALDAS,198526,84.55,84.5,96.6,4.64,88.95,6.4,4.32
39,2012,18,CAQUETÁ,124622,83.28,83.25,98.26,7.23,91.6,1.16,1.16
40,2012,19,CAUCA,325212,83.48,83.4,102.15,4.02,92.05,3.93,1.15
41,2012,20,CESAR,263271,94.15,94.01,109.0,5.13,90.08,4.8,1.49
42,2012,23,CÓRDOBA,405302,93.78,93.69,110.73,2.95,95.33,1.72,2.56
43,2012,25,CUNDINAMARCA,571082,91.17,90.97,101.88,2.94,95.84,1.22,2.02
44,2012,27,CHOCÓ,145607,80.97,80.95,99.64,2.09,91.88,6.03,0.1
45,2012,41,HUILA,273653,89.77,89.73,100.19,5.23,90.01,4.76,1.81
46,2012,44,LA GUAJIRA,239298,75.42,75.33,89.93,6.81,92.33,0.86,3.44
47,2012,47,MAGDALENA,334586,91.82,91.64,108.68,6.22,91.97,1.81,1.59
48,2012,50,META,210820,93.35,93.29,103.0,5.85,91.68,2.47,1.8
49,2012,52,NARIÑO,401539,77.75,77.73,92.96,1.84,97.02,1.14,1.89
50,2012,54,NORTE DE SANTANDER,322304,86.0,85.93,96.69,4.89,93.58,1.52,2.0
51,2012,63,QUINDIO,112175,88.77,88.74,102.48,6.23,89.79,3.99,1.23
52,2012,66,RISARALDA,189484,92.91,92.77,109.1,7.04,87.91,5.06,1.13
53,2012,68,SANTANDER,425904,92.21,92.11,103.99,4.67,92.65,2.68,2.53
54,2012,70,SUCRE,203626,95.6,95.55,112.62,4.83,85.68,9.49,0.65
55,2012,73,TOLIMA,321653,87.47,87.42,97.11,5.11,87.38,7.51,0.66
56,2012,76,VALLE DEL CAUCA,894698,88.26,88.09,101.86,4.32,92.39,3.29,1.64
57,2012,81,ARAUCA,74454,72.33,72.29,83.67,4.99,94.99,0.03,3.83
58,2012,85,CASANARE,85999,103.94,103.88,117.02,6.52,87.67,5.81,1.92
59,2012,86,PUTUMAYO,93570,78.17,78.17,93.12,6.16,89.6,4.24,1.03
60,2012,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15648,68.7,68.65,76.21,1.26,98.16,0.58,3.9
61,2012,91,AMAZONAS,22194,81.87,81.87,94.76,4.7,93.74,1.56,6.3
62,2012,94,GUAINÍA,11920,70.82,70.82,85.9,8.91,78.18,12.91,1.75
63,2012,95,GUAVIARE,31272,59.2,59.18,71.3,4.86,94.89,0.26,1.5
64,2012,97,VAUPÉS,12681,62.32,62.32,73.18,7.62,79.86,12.52,5.11
65,2012,99,VICHADA,20686,66.75,66.75,75.11,5.07,88.24,6.69,1.31
66,2013,05,ANTIOQUIA,1272458,92.06,91.93,105.69,3.57,91.59,4.84,1.57
67,2013,08,ATLÁNTICO,522832,86.41,86.22,95.58,3.12,95.77,1.11,1.66
68,2013,11,"BOGOTÁ, D.C.",1466854,84.5,84.07,91.42,3.68,96.32,0.0,6.89
69,2013,13,BOLÍVAR,492500,89.66,89.55,103.72,2.56,94.23,3.2,1.91
70,2013,15,BOYACÁ,292312,85.1,85.05,96.3,2.45,93.41,4.14,1.69
71,2013,17,CALDAS,196982,82.58,82.54,94.92,4.1,88.64,7.25,1.87
72,2013,18,CAQUETÁ,124458,80.95,80.94,95.55,6.55,92.48,0.96,1.32
73,2013,19,CAUCA,320510,84.34,84.33,104.67,3.74,91.69,4.57,1.28
74,2013,20,CESAR,262240,94.92,94.8,109.98,4.53,89.87,5.6,1.07
75,2013,23,CÓRDOBA,407589,93.39,93.35,110.67,2.3,96.13,1.57,2.69
76,2013,25,CUNDINAMARCA,572012,90.49,90.28,100.66,3.17,95.7,1.12,1.9
77,2013,27,CHOCÓ,145133,79.59,79.59,96.73,4.59,88.85,6.56,0.15
