,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,05,ANTIOQUIA,05120,CÁCERES,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,822.34,941.29,3883.55,1064.21,2298.05,1339.48,733.52,333.56,1889.08,1478.14,68.66,546.37,630.61
1,05,ANTIOQUIA,05361,ITUANGO,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,108.7,65.45,0.0,138.42,0.0,64.61,162.64,57.35,0.0,96.58
2,05,ANTIOQUIA,05652,SAN FRANCISCO,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.8,0.0,93.24,217.22,0.0,0.0,0.0,0.0,0.0,0.0
3,05,ANTIOQUIA,05790,TARAZÁ,0.0,0.0,264.0,0.0,0.0,0.0,4346.3,0.0,3213.12,6658.67,6456.26,6095.36,7582.7,9615.96,2556.48,2678.35,1361.81,2301.82,1876.47,234.66,361.06,928.71
4,05,ANTIOQUIA,05854,VALDIVIA,0.0,0.0,66.0,0.0,0.0,0.0,1912.5,0.0,0.0,0.0,184.47,995.06,1783.4,2320.12,555.71,536.11,39.18,332.19,373.44,50.76,52.44,141.71
5,18,CAQUETÁ,18029,ALBANIA,0.0,0.0,0.0,0.0,759.7,476.37,54.6,320.2,0.0,0.0,357.43,371.87,45.37,0.0,186.4,0.0,257.81,65.81,41.71,11.8,36.01,13.96
6,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,0.0,0.0,0.0,155.5,0.0,92.51,0.0,0.0,0.0,0.0,136.85,0.0,269.01,0.0,266.43,0.0,526.12,356.17,453.91,60.56,151.51,151.85
7,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,0.0,0.0,537.0,193.7,5092.1,2294.13,45.1,649.15,4541.59,530.01,3361.29,200.07,57.05,0.0,986.34,1431.32,2944.83,2539.91,397.57,1080.15,892.58,808.03
8,18,CAQUETÁ,18205,CURILLO,0.0,0.0,0.0,43.0,1046.0,3458.52,1520.4,8061.42,4282.29,16.93,231.94,680.68,420.82,2098.15,911.93,215.32,314.75,347.38,315.48,386.77,327.52,379.74
9,18,CAQUETÁ,18247,EL DONCELLO,0.0,0.0,0.0,0.0,0.0,154.5,0.0,285.0,0.0,0.0,190.75,199.27,6.9,0.0,71.17,124.45,903.17,247.43,160.56,165.93,211.23,88.08
10,18,CAQUETÁ,18256,EL PAUJÍL,0.0,0.0,0.0,141.9,0.0,72.06,232.9,32.3,0.0,0.0,484.5,0.0,127.64,0.0,70.28,39.58,391.8,216.97,335.07,119.95,550.37,643.08
11,18,CAQUETÁ,18410,LA MONTAÑITA,0.0,0.0,0.0,254.4,61.0,1147.15,311.23,0.0,420.03,0.0,1201.4,176.49,373.31,1.74,1641.24,300.62,994.17,1001.0,924.34,563.71,611.11,990.98
12,18,CAQUETÁ,18460,MILÁN,0.0,0.0,0.0,1218.2,2668.3,1239.02,286.46,514.5,377.35,0.0,601.88,102.67,251.95,1355.39,1619.45,529.38,1642.23,1475.05,482.55,578.11,450.15,352.26
13,18,CAQUETÁ,18592,PUERTO RICO,0.0,0.0,0.0,503.8,666.1,0.0,171.1,24.0,0.0,0.0,3585.06,1863.89,228.79,536.5,986.11,884.27,1331.97,1498.12,463.66,323.01,235.56,280.96
14,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,0.0,0.0,0.0,0.0,0.0,183.4,0.0,327.7,92.0,0.0,1778.64,0.0,1641.95,303.25,867.25,417.29,1106.27,1922.82,264.16,698.75,904.21,445.27
15,18,CAQUETÁ,18756,SOLANO,0.0,0.0,0.0,954.6,2515.5,2710.57,1604.2,1017.11,6196.51,175.91,609.05,442.3,101.81,240.12,2295.13,1550.79,3181.84,1123.91,1114.87,1006.69,368.0,515.19
16,18,CAQUETÁ,18785,SOLITA,0.0,0.0,0.0,0.0,3324.6,1984.96,3355.84,2645.38,990.43,0.0,1061.46,205.02,490.91,142.05,207.03,62.63,884.98,430.2,275.08,200.68,73.76,49.56
17,18,CAQUETÁ,18860,VALPARAÍSO,0.0,0.0,0.0,904.9,2300.0,1842.8,1478.01,3375.39,801.08,267.66,946.19,732.88,459.6,339.04,312.48,88.41,344.34,431.29,220.79,284.11,75.76,16.71
