,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,00,INTERNACIONAL,00,INTERNACIONAL,14213.5,37030.45,27661.0,30192.0,46107.94,0.0,0.0,0.0,0.0,2617.744,250.0,2711.779,16950.003,49124.0,33838.14,43949.64,47044.8,98687.76,109892.718,121951.27,242136.851,290182.723,277899.093,308881.617,450785.419,25789.811
1,05,ANTIOQUIA,05001,MEDELLÍN,113.965,19.098,102.164,1025.7139,1223.242,118.634,81.15,43.378,4514.561,189.276,326.685,559.1345,393.3194,111.6985,537.2987,718.1305,721.8015,213.1682,661.3463,204.1929,298.6504,545.6319,99.5677,287.7597,599.6725,11.3679
2,05,ANTIOQUIA,05002,ABEJORRAL,0.0,0.0,0.0,0.0,0.0,0.03,0.064,0.01,0.0,0.0,0.0,0.022,0.2622,0.0415,0.1654,0.433,0.003,29.356,0.087,49.673,0.516,1.725,0.4365,11.235,0.4259,0.401
3,05,ANTIOQUIA,05021,ALEJANDRÍA,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.011,0.004,0.0236,0.02,213.042,0.053,0.035,1.036,0.003,0.006,0.016,0.0,0.0,0.0
4,05,ANTIOQUIA,05030,AMAGÁ,0.0,0.0,0.0,0.006,0.0,0.363,0.105,1.295,0.0,0.193,0.165,3.907,3.2843,1.3803,0.7366,74.173,0.5313,3.06,4.563,2.085,1.3792,0.4854,0.312,7.819,0.3876,0.05
5,05,ANTIOQUIA,05031,AMALFI,0.0,0.0,0.0,0.0,0.0,0.041,0.475,0.626,181.0,0.007,0.003,0.1914,0.131,1.303,0.5079,3.568,0.9125,0.559,1.4262,0.299,0.196,0.178,0.0965,0.0,0.044,0.0
6,05,ANTIOQUIA,05034,ANDES,0.0,0.0,0.0,0.0,0.0,0.401,0.377,0.293,0.0,4.563,0.274,0.8957,0.7253,1.1721,0.5738,4.2203,2.2085,2.2138,2.6602,1.926,1.2764,1.21,2.2263,1.111,0.5718,0.01
7,05,ANTIOQUIA,05036,ANGELÓPOLIS,0.0,0.0,0.0,0.0,0.0,0.002,0.125,0.008,0.0,0.004,0.016,0.002,0.0,0.063,0.0318,0.068,0.081,0.328,0.147,0.221,0.03,0.032,0.033,0.008,0.0,0.0
8,05,ANTIOQUIA,05038,ANGOSTURA,0.0,0.0,0.02,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0078,0.0631,0.008,0.02,0.052,0.127,0.531,0.015,0.005,0.045,0.264,0.0126,0.0
9,05,ANTIOQUIA,05040,ANORÍ,0.0,0.0,0.0,0.0,0.0,600.06,0.0,0.009,0.0,0.021,0.018,4.012,290.0025,0.749,0.8618,0.027,0.236,0.016,0.01,28.6083,0.0215,0.776,0.031,0.24,1.29,0.0
10,05,ANTIOQUIA,05042,SANTA FE DE ANTIOQUIA,0.0,0.0,0.0,0.221,30.0,507.18,1.56,0.71,0.0,0.324,494.128,160.7624,440.1013,723.8605,236.444,384.931,0.307,1702.449,29.521,316.934,643.918,519.174,63.166,1.973,0.5344,0.001
11,05,ANTIOQUIA,05044,ANZÁ,0.0,0.0,0.0,0.0,0.0,0.161,0.075,0.0,0.0,0.026,0.0,0.0215,0.0,0.026,0.061,0.069,0.099,0.243,0.337,0.397,0.0,0.016,0.2,0.25,0.0,0.0
12,05,ANTIOQUIA,05045,APARTADÓ,0.0,10.0,0.0,0.24,12.0,6.47,3.16,668.961,12.0,164.205,62.583,50.2542,185.7755,154.5517,142.0638,61.401,146.146,187.1411,7002.232,1.228,360.8866,546.2775,4641.5859,0.327,5.5485,0.0
13,05,ANTIOQUIA,05079,BARBOSA,129.855,20.0,0.0,0.0,14.0,0.0,0.0,0.213,0.0,0.07,0.035,0.057,178.9293,0.249,23.469,67.443,733.089,2.106,2.147,0.4928,0.8326,0.9175,0.5647,0.3665,3.4971,0.145
14,05,ANTIOQUIA,05086,BELMIRA,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,11.001,0.049,0.0,180.0,0.0037,44.083,0.003,0.109,0.015,0.022,746.015,0.012,0.214,0.058,0.01,665.45,0.0
15,05,ANTIOQUIA,05088,BELLO,0.0,0.0,0.0,0.0,0.0,211.05,77.771,5.064,0.0,4.796,1.193,324.1199,295.492,2.3194,337.583,10.4185,28.112,5.006,19.613,5.8063,13.95,69.3359,9.1676,8.5825,9.3652,0.7128
16,05,ANTIOQUIA,05091,BETANIA,0.0,0.0,0.0,0.0,0.0,0.09,0.033,0.046,0.0,0.91,0.412,0.1771,0.2302,0.456,0.7147,0.944,0.362,0.155,0.147,0.205,17.552,0.17,1.41,0.393,0.691,0.149
