,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,05,ANTIOQUIA,05120,CÁCERES,0.0,0.0,0.0,0.0,2375.0,2000.0,11840.0,15734.0,6795.0,2137.0,787.0,275.0,2360.0,950.0,900.0,4827.07,2714.67,587.0,350.0,3670.17,890.01,927.0,0.0,0.0,1340.0,0.0
1,05,ANTIOQUIA,05154,CAUCASIA,0.0,0.0,2710.0,0.0,562.0,6070.0,0.0,90.0,0.0,0.0,0.0,470.0,200.0,103.0,102.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,05,ANTIOQUIA,05172,CHIGORODÓ,0.0,0.0,0.0,0.0,150.001,0.0,0.0,0.0,38.0,0.0,1000.0,0.0,874.5,2872.0,6516.0,1042.0,0.0,3150.0,420.0,650.0,0.0,0.0,0.0,0.0,688.26,25.0
3,05,ANTIOQUIA,05237,DON MATÍAS,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,05,ANTIOQUIA,05250,EL BAGRE,0.0,0.0,0.0,4672.0,1221.0,10963.0,9675.0,3000.0,0.0,2124.0,1900.013,120.0,2398.0,679.0,0.0,780.0,0.0,320.0,770.0,0.0,100.0,705.0,350.0,0.0,40.0,0.0
5,05,ANTIOQUIA,05483,NARIÑO,0.0,0.0,0.0,0.0,0.001,0.0,30.0,7700.0,9829.0,1470.0,0.0,1025.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,442.0,0.0,0.0,0.0,0.0
6,05,ANTIOQUIA,05495,NECHÍ,0.0,0.0,0.0,0.0,0.0,50.0,44.0,785.0,3020.0,11389.0,8527.0,2462.0,2196.0,0.0,0.0,3037.0,1000.0,0.0,20.0,275.0,692.0,0.0,35.0,0.0,0.0,0.0
7,05,ANTIOQUIA,05647,SAN ANDRÉS,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,05,ANTIOQUIA,05652,SAN FRANCISCO,250.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,2086.0,0.0,7167.613,4581.895,2846.0,750.0,650.0,9647.5,270.0,940.0,250.0,0.0,0.0,405.0,20.0,100.0,0.0,0.0
9,05,ANTIOQUIA,05665,SAN PEDRO DE URABÁ,0.0,0.0,1325.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,05,ANTIOQUIA,05670,SAN ROQUE,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,05,ANTIOQUIA,05790,TARAZÁ,3565.0,11431.0,1100.0,6127.0,12608.001,30289.44,38013.0,104084.895,3567.0,2325.0,11370.0,4838.5,4516.0,3682.5,2775.0,3362.0,10152.75,1842.0,3895.0,1240.0,1559.5,635.0,280.0,0.0,107.0,323.0
12,05,ANTIOQUIA,05792,TARSO,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,05,ANTIOQUIA,05837,TURBO,0.0,125.0,1950.0,225.0,125.0,0.0,5022.0,180.0,0.0,0.0,0.0,150.0,0.0,2.268,2167.0,605.1,2218.0,4319.5,487.0,0.0,262.0,520.0,310.0,0.0,1851.15,0.0
