,Unnamed: 0,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Categoría
0,0,5,ANTIOQUIA,5001,MEDELLÍN,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Territorio sin intervenir en los últimos 5 años
1,1,5,ANTIOQUIA,5040,ANORÍ,0.0,0.0,33.0,0.0,0.0,30.0,31.91,10.63,224.62,2.5,1613.89,211.64,85.84,10.0,0.0,243.423,50.3,39.5,35.13,11.0,117.4992,666.5672,2792.3546,2355.3507,1142.5658,94.76,Territorio con erradiacion constante
2,2,5,ANTIOQUIA,5055,ARGELIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,31.53,1.0,5.96,9.5,0.0,0.889,0.21,0.0,1.4,0.0,0.0,0.0,0.0,0.0,Territorio sin intervenir en los últimos 5 años
3,3,5,ANTIOQUIA,5120,CÁCERES,0.0,0.0,3.75,0.0,3.0,6.0,0.28,18.0,368.75,2197.46,976.41,1066.8,1770.53,354.7,299.89,881.155,216.223,0.0,0.0,115.816,1880.2721,2184.1438,554.1251,319.0698,92.802,10.405,Territorio con erradicacion intermitente
4,4,5,ANTIOQUIA,5172,CHIGORODÓ,0.0,0.0,0.0,0.0,80.0,98.0,1.0,143.5,68.6,59.0,12.0,2.5,5.0,61.44,11.0,6.0,0.0,22.0,168.021,53.0,24.4898,0.0,207.3383,0.0,0.0,0.0,Territorio con erradicacion intermitente
5,5,5,ANTIOQUIA,5250,EL BAGRE,0.0,0.0,0.0,0.0,162.0,59.0,4.0,26.83,0.0,34.7,3045.03,529.85,6.0,637.69,81.16,0.0,29.9388,109.175,84.351,153.8159,188.6483,2780.4573,3045.1671,2038.7456,1508.2447,431.357,Territorio con erradiacion constante
6,6,5,ANTIOQUIA,5361,ITUANGO,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,160.59,6.0,118.46,0.0,18.72,19.6432,123.22,99.41,68.7,1038.6076,1685.6735,672.0966,460.7509,544.4071,34.894,Territorio con erradiacion constante
7,7,5,ANTIOQUIA,5483,NARIÑO,0.0,0.0,0.0,7.0,0.0,14.0,39.5,0.0,1.0,212.67,129.29,19.72,12.5,37.4,218.54,4.0,7.1,3.5,4.0,5.55,1.1,18.3198,2.1504,3.2395,0.0,0.0,Territorio con erradicacion intermitente
8,8,5,ANTIOQUIA,5490,NECOCLÍ,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Territorio sin intervenir en los últimos 5 años
9,9,5,ANTIOQUIA,5495,NECHÍ,15.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,8.0,1393.61,1.5,1.0,253.77,4.56,7.0,405.3896,315.153,11.244,90.915,1188.3165,5325.3268,1281.5526,1112.3101,113.663,121.909,Territorio con erradiacion constante
10,10,5,ANTIOQUIA,5541,PEÑOL,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,Territorio con erradicacion intermitente
11,11,5,ANTIOQUIA,5604,REMEDIOS,30.0,2.19,0.0,3.0,0.0,0.0,5.0,5.0,0.0,4.0,39.8,159.62,57.66,0.0,0.0,1.5,3.0,4.43,9.7665,2.0,26.1297,3.66,27.2509,59.1429,40.837,14.471,Territorio con erradiacion constante
12,12,5,ANTIOQUIA,5652,SAN FRANCISCO,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,79.2,34.41,308.42,329.34,106.42,405.9,158.975,87.9964,56.374,87.014,146.1,5.95,6.7805,70.7953,6.3197,0.0,0.0,Territorio con erradicacion intermitente
13,13,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,1.3,0.0,0.0,112.5339,1.7895,0.0,0.0,Territorio con erradicacion intermitente
