,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Cobertura de acueducto,Cobertura de alcantarillado
0,11,BOGOTÁ,11001,BOGOTÁ,2008,81.99,79.63
1,11,BOGOTÁ,11001,BOGOTÁ,2009,100.0,96.33
2,11,BOGOTÁ,11001,BOGOTÁ,2010,98.69,97.68
3,11,BOGOTÁ,11001,BOGOTÁ,2011,79.55,78.62
4,11,BOGOTÁ,11001,BOGOTÁ,2012,76.83,75.87
5,11,BOGOTÁ,11001,BOGOTÁ,2013,78.95,77.78
6,11,BOGOTÁ,11001,BOGOTÁ,2014,94.01,93.94
7,11,BOGOTÁ,11001,BOGOTÁ,2015,93.61,93.55
8,11,BOGOTÁ,11001,BOGOTÁ,2016,96.44,96.37
9,11,BOGOTÁ,11001,BOGOTÁ,2017,95.68,95.47
10,11,BOGOTÁ,11001,BOGOTÁ,2018,98.21,98.16
11,11,BOGOTÁ,11001,BOGOTÁ,2019,98.1,98.06
12,11,BOGOTÁ,11001,BOGOTÁ,2020,99.0,98.98
13,11,BOGOTÁ,11001,BOGOTÁ,2021,97.12,97.19
14,13,BOLÍVAR,13000,BOLÍVAR,2008,24.62,15.41
15,13,BOLÍVAR,13000,BOLÍVAR,2009,20.13,12.08
16,13,BOLÍVAR,13000,BOLÍVAR,2010,38.36,9.11
17,13,BOLÍVAR,13000,BOLÍVAR,2011,14.6,5.84
18,13,BOLÍVAR,13000,BOLÍVAR,2012,16.16,5.67
19,13,BOLÍVAR,13000,BOLÍVAR,2013,27.1,16.47
20,13,BOLÍVAR,13000,BOLÍVAR,2014,56.15,34.66
21,13,BOLÍVAR,13000,BOLÍVAR,2015,46.63,34.84
22,13,BOLÍVAR,13000,BOLÍVAR,2016,55.07,48.84
23,13,BOLÍVAR,13000,BOLÍVAR,2017,52.79,37.48
24,13,BOLÍVAR,13000,BOLÍVAR,2018,51.3,37.14
25,13,BOLÍVAR,13000,BOLÍVAR,2019,39.11,27.32
26,13,BOLÍVAR,13000,BOLÍVAR,2020,38.03,25.89
27,13,BOLÍVAR,13000,BOLÍVAR,2021,36.62,24.6
28,13,BOLÍVAR,13001,CARTAGENA,2008,12.52,10.3
29,13,BOLÍVAR,13001,CARTAGENA,2009,12.23,10.08
